Year,Hospitals,Public Health,Administration,COVID-19 Response Funding,Total,Province
2024,0.0,0.0,0.0,0.0,0.0,Sask.
2020,1824.7538804257051,471.88610710508937,34.88891510696603,269.08409043795285,5348.849068205272,Sask.
2021,1930.9172896995467,426.5314878091417,36.068928374589454,316.695922621265,5614.808058294825,Sask.
2022,2143.6479280180547,404.1468120293722,37.1450063845726,77.40133627851482,5721.521721120594,Sask.
2023,2275.188705507825,393.7512367398883,37.477026437266055,0.0,6053.241697620707,Sask.
2024,2267.210291564776,386.0273587175431,39.94186662735476,0.0,6074.568965706345,Sask.
2020,-2.0803323905128623,19.791757903693963,-8.59389148454378,0.0,5.947004080716867,Sask.
2021,5.817957720910494,-9.611348715940714,3.382201091680881,17.694034643899116,4.97226574723284,Sask.
2022,11.017076674040728,-5.248071108359975,2.9833933484456843,-75.55973072281115,1.900575437625496,Sask.
2023,6.136305116642382,-2.572227462907306,0.8938484200432306,0.0,5.797757881012533,Sask.
2024,-0.3506704267533744,-1.961613653914096,6.57693639119068,0.0,0.3523280442282894,Sask.
2024,0.0,0.0,0.0,0.0,0.0,Sask.
2020,8604.337713711266,1710.830215110512,137.8435,1263.335568613361,23991.750018450668,Alta.
2021,8862.07471083053,1783.514996346494,152.54725,1654.91489030384,25014.75205642398,Alta.
2022,9223.129904785166,2564.198953801098,175.19570641,419.208900255351,25862.87644627444,Alta.
2023,10160.651306381256,2579.747903649139,188.69748547,0.0,27654.26208451223,Alta.
2024,10131.52294272123,3369.956577856285,237.10792306145223,0.0,29026.67085232743,Alta.
2020,1.527541530687926,-0.1675688515737072,1.4461449015112704,0.0,6.104302007343776,Alta.
2021,2.9954309755712227,4.248509325706928,10.666988287441905,30.99566982985187,4.263974229418777,Alta.
2022,4.074161025898193,43.772211562774885,14.846846737650132,-74.6688544098854,3.3904968873463392,Alta.
2023,10.164894252543078,0.6063862488123961,7.706683763358124,0.0,6.92647487203939,Alta.
2024,-0.2866781152280229,30.63123621844481,25.655051772880544,0.0,4.962738704150116,Alta.
2024,0.0,0.0,0.0,0.0,0.0,Alta.
2020,35.863735271892075,7.130910474620698,0.5745454162117917,5.265708285730731,100.0,Alta.
2021,35.427393766849995,7.129852785762367,0.6098291506384318,6.615755721147934,100.0,Alta.
2022,35.66165551594616,9.914593062097207,0.6774022478665053,1.6208904725898667,100.0,Alta.
2023,36.74171914379784,9.328572556972787,0.6823450392324156,0.0,100.0,Alta.
2024,34.90418516909892,11.609862512311066,0.8168622721762815,0.0,100.0,Alta.
2020,-4.3134542050322295,-5.911042945726552,-4.39016799291524,0.0,0.0,Alta.
2021,-1.2166649729429049,-0.0148324517899367,6.1411567181720805,25.63847752591284,0.0,Alta.
